Images processed: 138
Total before: 46.37 MB
Total after:  20.02 MB
Saved:        26.36 MB  (56.8%)

File                                                 Before      After      Saved  Note
portrait-attenborough-hires.jpg                      9161 KB      194 KB     8967 KB  resized 2872px→1800px,jpeg
wildlife-cheetah-profile.jpg                         4604 KB      222 KB     4382 KB  resized 4096px→1800px,jpeg
hero-5-attenborough.jpg                              4177 KB      340 KB     3837 KB  resized 5796px→2400px,jpeg
sup-2-event-aerial.jpg                               3426 KB      182 KB     3243 KB  resized 4000px→1800px,jpeg
sup-1-fixing-crew.jpg                                2939 KB      163 KB     2776 KB  resized 3840px→1800px,jpeg
wildlife-lion-bush.jpg                               2794 KB      384 KB     2410 KB  resized 3543px→1800px,jpeg
kit-on-location.jpg                                  1161 KB      229 KB      932 KB  resized 2933px→1800px,jpeg
sup-1-fixing.jpg                                      388 KB      247 KB      141 KB  resized 1920px→1800px,jpeg
body-storm.webp                                       206 KB      154 KB       52 KB  jpeg
portrait-barny-flying.jpg                             107 KB       72 KB       36 KB  jpeg
bts-launching-mavic.webp                              299 KB      277 KB       22 KB  jpeg
body-crested-crane.webp                               290 KB      268 KB       22 KB  jpeg
hero-3-canoes.webp                                    395 KB      374 KB       21 KB  jpeg
body-img-1186.webp                                    172 KB      159 KB       13 KB  jpeg
body-ivory-burn.webp                                   98 KB       86 KB       12 KB  jpeg
heli-cabin-dusk.webp                                   82 KB       71 KB       11 KB  jpeg
bts-earth-at-night.webp                               304 KB      293 KB       11 KB  jpeg
feat-5-green-planet.webp                              329 KB      318 KB       11 KB  jpeg
body-coastal-aerial.webp                              208 KB      198 KB       10 KB  jpeg
aerial-dune-landscape.webp                            112 KB      102 KB       10 KB  jpeg
hero-2-serval.webp                                    600 KB      591 KB       10 KB  jpeg
aerial-remote-camp.webp                               228 KB      220 KB        9 KB  jpeg
cinema-rental-inspire.webp                            487 KB      479 KB        7 KB  jpeg
wildlife-amboseli-elephant.jpg                        192 KB      185 KB        7 KB  jpeg
body-btj-7717.webp                                     97 KB       90 KB        7 KB  jpeg
bts-elephants-sunset.webp                             193 KB      186 KB        7 KB  jpeg
